N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
900,0.01,15.0,1.0,138.0,8.91,2.98496231131986,135.0,1_1_8,900,900,16,8,24.058910198959524,1,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,1_1_9,1000,1000,12,13,49.189838423629176,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,1_2_0,100,100,1,2,0.03627059238146376,1,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,1_2_1,200,200,1,5,4.442972050338118,1,1.0,0.0
300,0.01,10.0,1.0,37.0,2.9699999999999998,1.7233687939614086,30.0,1_2_2,300,300,3,4,6.444842926684908,1,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,1_2_3,400,400,2,8,8.961079985434894,1,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,1_2_4,500,500,10,6,12.903897274285248,1,1.0,0.0
600,0.01,15.0,1.0,100.0,5.9399999999999995,2.437211521390788,90.0,1_2_5,600,600,3,0,25.162131387043104,1,1.0,0.0
700,0.01,15.0,1.0,108.0,6.93,2.6324893162176366,105.0,1_2_6,700,700,7,5,23.025655041436075,1,1.0,0.0
800,0.01,15.0,1.0,126.0,7.92,2.814249455894058,120.0,1_2_7,800,800,9,6,26.38098655219711,1,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,1_2_8,900,900,16,5,26.35266706793226,1,1.0,0.0
1000,0.01,20.0,1.0,212.0,9.9,3.146426544510455,200.0,1_2_9,1000,1000,13,8,48.860485568078694,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,2_0_0,100,100,1,1,0.04089669856241497,2,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,2_0_1,200,200,3,1,2.080747150392945,2,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,2_0_2,300,300,2,6,5.617574314331176,2,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,2_0_3,400,400,2,3,8.992045710987165,2,1.0,0.0
500,0.01,15.0,1.0,83.0,4.95,2.224859546128699,75.0,2_0_4,500,500,7,4,16.045806615248118,2,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,2_0_5,600,600,10,8,17.474419905417115,2,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,2_0_6,700,700,7,4,24.56425577222995,2,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,2_0_7,800,800,5,9,31.376290140823492,2,1.0,0.0
900,0.01,15.0,1.0,143.0,8.91,2.98496231131986,135.0,2_0_8,900,900,7,5,33.319800271638755,2,1.0,0.0
1000,0.01,20.0,1.0,213.0,9.9,3.146426544510455,200.0,2_0_9,1000,1000,11,10,51.21236775974174,2,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,2_1_0,100,100,1,1,0.04089669856241497,2,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,2_1_1,200,200,2,1,3.272583624583809,2,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,2_1_2,300,300,3,3,4.793678393041633,2,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,2_1_3,400,400,2,5,8.686444931236624,2,1.0,0.0
500,0.01,15.0,1.0,83.0,4.95,2.224859546128699,75.0,2_1_4,500,500,2,8,21.213509102876397,2,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,2_1_5,600,600,8,9,18.179428545422603,2,1.0,0.0
700,0.01,15.0,1.0,109.0,6.93,2.6324893162176366,105.0,2_1_6,700,700,3,11,27.682897084877787,2,1.0,0.0
800,0.01,15.0,1.0,125.0,7.92,2.814249455894058,120.0,2_1_7,800,800,6,10,29.000467188344775,2,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,2_1_8,900,900,12,9,28.30639778244062,2,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,2_1_9,1000,1000,6,11,56.00594567383242,2,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,2_2_0,100,100,1,0,0.04547976291035758,2,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,2_2_1,200,200,3,2,2.5667630237647576,2,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,2_2_2,300,300,5,3,3.7247269355622357,2,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,2_2_3,400,400,1,4,10.479622145943079,2,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,2_2_4,500,500,7,3,14.86341427895104,2,1.0,0.0
600,0.01,15.0,1.0,93.0,5.9399999999999995,2.437211521390788,90.0,2_2_5,600,600,9,8,17.082040100038682,2,1.0,0.0
700,0.01,15.0,1.0,110.0,6.93,2.6324893162176366,105.0,2_2_6,700,700,2,6,29.40152632168535,2,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,2_2_7,800,800,11,5,24.9542798364624,2,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,2_2_8,900,900,10,9,30.66484880435865,2,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,2_2_9,1000,1000,10,6,50.31295012590556,2,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,3_0_0,100,100,1,1,0.04089669856241497,3,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,3_0_1,200,200,2,1,3.005547263835211,3,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,3_0_2,300,300,5,6,3.71453053830881,3,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,3_0_3,400,400,5,1,7.249948841700974,3,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,3_0_4,500,500,4,6,18.23251196440309,3,1.0,0.0
600,0.01,15.0,1.0,93.0,5.9399999999999995,2.437211521390788,90.0,3_0_5,600,600,3,5,22.867215410588575,3,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,3_0_6,700,700,5,8,26.287577726621553,3,1.0,0.0
800,0.01,15.0,1.0,135.0,7.92,2.814249455894058,120.0,3_0_7,800,800,4,7,34.53642396100399,3,1.0,0.0
900,0.01,15.0,1.0,139.0,8.91,2.98496231131986,135.0,3_0_8,900,900,8,4,31.047991822577217,3,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,3_0_9,1000,1000,14,11,46.27951396054103,3,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,3_1_0,100,100,0,2,1.220645864861856,3,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,3_1_1,200,200,1,0,3.897284369044178,3,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,3_1_2,300,300,1,2,6.985829639186848,3,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,3_1_3,400,400,5,7,6.955791291618636,3,1.0,0.0
500,0.01,15.0,1.0,77.0,4.95,2.224859546128699,75.0,3_1_4,500,500,10,2,12.084419150926044,3,1.0,0.0
600,0.01,15.0,1.0,93.0,5.9399999999999995,2.437211521390788,90.0,3_1_5,600,600,3,3,22.883850986611936,3,1.0,0.0
700,0.01,15.0,1.0,108.0,6.93,2.6324893162176366,105.0,3_1_6,700,700,9,7,21.237523839914495,3,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,3_1_7,800,800,5,6,31.394301350033984,3,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,3_1_8,900,900,6,6,34.09098347924678,3,1.0,0.0
1000,0.01,20.0,1.0,212.0,9.9,3.146426544510455,200.0,3_1_9,1000,1000,5,10,58.02440833163379,3,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,3_2_0,100,100,0,1,0.9815905928741635,3,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,3_2_1,200,200,1,1,4.180739158374863,3,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,3_2_2,300,300,1,1,6.990985639313587,3,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,3_2_3,400,400,5,8,6.6840014251654445,3,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,3_2_4,500,500,5,7,16.304447255419838,3,1.0,0.0
600,0.01,15.0,1.0,93.0,5.9399999999999995,2.437211521390788,90.0,3_2_5,600,600,4,4,21.709145282133267,3,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,3_2_6,700,700,12,4,20.624950875021074,3,1.0,0.0
800,0.01,15.0,1.0,130.0,7.92,2.814249455894058,120.0,3_2_7,800,800,5,10,31.69364000720019,3,1.0,0.0
900,0.01,15.0,1.0,147.0,8.91,2.98496231131986,135.0,3_2_8,900,900,12,13,29.79891176596077,3,1.0,0.0
1000,0.01,20.0,1.0,213.0,9.9,3.146426544510455,200.0,3_2_9,1000,1000,13,10,49.180870981052315,3,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,4_0_0,100,100,0,3,0.9551624809882677,4,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,4_0_1,200,200,4,2,1.7685306073035225,4,1.0,0.0
300,0.01,10.0,1.0,35.0,2.9699999999999998,1.7233687939614086,30.0,4_0_2,300,300,3,4,5.884310819625441,4,1.0,0.0
400,0.01,10.0,1.0,48.0,3.96,1.98997487421324,40.0,4_0_3,400,400,6,6,7.070432091992404,4,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,4_0_4,500,500,3,8,18.377234230041886,4,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,4_0_5,600,600,5,8,21.874996002806956,4,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,4_0_6,700,700,6,4,25.872772566319323,4,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,4_0_7,800,800,8,10,28.224322391153837,4,1.0,0.0
900,0.01,15.0,1.0,141.0,8.91,2.98496231131986,135.0,4_0_8,900,900,7,7,32.68208768490459,4,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,4_0_9,1000,1000,14,10,47.24568070167674,4,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,4_1_0,100,100,1,0,0.39865831287965103,4,1.0,0.0
200,0.01,10.0,1.0,26.0,1.98,1.407124727947029,20.0,4_1_1,200,200,4,1,2.9593846346614545,4,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,4_1_2,300,300,2,2,5.9220807378529,4,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,4_1_3,400,400,4,4,7.172753461899692,4,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,4_1_4,500,500,5,3,16.930159894160052,4,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,4_1_5,600,600,5,7,21.257448237460405,4,1.0,0.0
700,0.01,15.0,1.0,115.0,6.93,2.6324893162176366,105.0,4_1_6,700,700,10,6,22.490853696945404,4,1.0,0.0
800,0.01,15.0,1.0,131.0,7.92,2.814249455894058,120.0,4_1_7,800,800,1,7,37.64408572227113,4,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,4_1_8,900,900,7,8,32.99475588129291,4,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,4_1_9,1000,1000,12,11,48.545758900467824,4,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,4_2_0,100,100,2,2,-0.030360156630361023,4,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,4_2_1,200,200,3,2,2.0779726882739,4,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,4_2_2,300,300,4,4,4.084978277813379,4,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,4_2_3,400,400,1,3,10.18002930857553,4,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,4_2_4,500,500,4,9,17.592480590452734,4,1.0,0.0
600,0.01,15.0,1.0,100.0,5.9399999999999995,2.437211521390788,90.0,4_2_5,600,600,7,3,20.880359021117904,4,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,4_2_6,700,700,8,9,23.308179673021296,4,1.0,0.0
800,0.01,15.0,1.0,130.0,7.92,2.814249455894058,120.0,4_2_7,800,800,4,12,32.88553708897788,4,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,4_2_8,900,900,7,10,34.25053065836052,4,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,4_2_9,1000,1000,11,7,49.25296953145047,4,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,5_0_0,100,100,2,1,-0.14661740550182095,5,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,5_0_1,200,200,3,0,2.825145574577159,5,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,5_0_2,300,300,2,1,5.641442680141659,5,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,5_0_3,400,400,2,4,8.691960243187568,5,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,5_0_4,500,500,5,3,17.237471482999794,5,1.0,0.0
600,0.01,15.0,1.0,102.0,5.9399999999999995,2.437211521390788,90.0,5_0_5,600,600,8,5,20.58697425806957,5,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,5_0_6,700,700,5,11,26.27520067225768,5,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,5_0_7,800,800,7,12,29.20647321253764,5,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,5_0_8,900,900,7,11,33.61631255175921,5,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,5_0_9,1000,1000,2,14,60.83110886715321,5,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,5_1_0,100,100,1,1,0.04089669856241497,5,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,5_1_1,200,200,6,0,0.9369714015927747,5,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,5_1_2,300,300,0,2,8.44609790697924,5,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,5_1_3,400,400,4,3,7.176653396599704,5,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,5_1_4,500,500,5,5,17.23095360518362,5,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,5_1_5,600,600,3,4,23.19386248367463,5,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,5_1_6,700,700,3,7,29.3267412042294,5,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,5_1_7,800,800,6,6,30.274987744645653,5,1.0,0.0
900,0.01,15.0,1.0,140.0,8.91,2.98496231131986,135.0,5_1_8,900,900,7,9,32.36545808229573,5,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,5_1_9,1000,1000,7,12,54.404570972231156,5,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,5_2_0,100,100,0,0,1.2514005977277969,5,1.0,1.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,5_2_1,200,200,5,1,1.7375166084721232,5,1.0,0.0
300,0.01,10.0,1.0,36.0,2.9699999999999998,1.7233687939614086,30.0,5_2_2,300,300,4,3,5.399578874907001,5,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,5_2_3,400,400,6,6,6.543039805630665,5,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,5_2_4,500,500,9,4,13.61239815345441,5,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,5_2_5,600,600,3,7,23.18116772668404,5,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,5_2_6,700,700,9,11,23.021802220870068,5,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,5_2_7,800,800,10,11,26.387182058899644,5,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,5_2_8,900,900,7,7,32.995932807407115,5,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,5_2_9,1000,1000,10,9,50.633516647169,5,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,6_0_0,100,100,1,2,0.03627059238146376,6,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,6_0_1,200,200,4,3,1.9928340756291287,6,1.0,0.0
300,0.01,10.0,1.0,36.0,2.9699999999999998,1.7233687939614086,30.0,6_0_2,300,300,3,4,6.163532931370198,6,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,6_0_3,400,400,0,3,12.694340866423417,6,1.0,0.0
500,0.01,15.0,1.0,82.0,4.95,2.224859546128699,75.0,6_0_4,500,500,6,7,16.59765145997935,6,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,6_0_5,600,600,4,6,22.967381378864125,6,1.0,0.0
700,0.01,15.0,1.0,117.0,6.93,2.6324893162176366,105.0,6_0_6,700,700,7,6,25.793697883561848,6,1.0,0.0
800,0.01,15.0,1.0,123.0,7.92,2.814249455894058,120.0,6_0_7,800,800,10,4,24.603409867460297,6,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,6_0_8,900,900,5,7,35.886261859124005,6,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,6_0_9,1000,1000,5,7,57.35950576690662,6,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,6_1_0,100,100,2,1,-0.12573958406721636,6,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,6_1_1,200,200,1,2,4.175352635318227,6,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,6_1_2,300,300,1,3,7.581308410686459,6,1.0,0.0
400,0.01,10.0,1.0,48.0,3.96,1.98997487421324,40.0,6_1_3,400,400,9,4,5.313974918636048,6,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,6_1_4,500,500,7,6,14.558728102012083,6,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,6_1_5,600,600,3,7,23.50164981012962,6,1.0,0.0
700,0.01,15.0,1.0,110.0,6.93,2.6324893162176366,105.0,6_1_6,700,700,9,7,21.8335843361017,6,1.0,0.0
800,0.01,15.0,1.0,126.0,7.92,2.814249455894058,120.0,6_1_7,800,800,5,6,30.438215958019004,6,1.0,0.0
900,0.01,15.0,1.0,141.0,8.91,2.98496231131986,135.0,6_1_8,900,900,6,5,33.778473945202585,6,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,6_1_9,1000,1000,14,11,46.27951396054103,6,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,6_2_0,100,100,0,0,0.7493167477221013,6,1.0,1.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,6_2_1,200,200,2,2,3.0017604536569373,6,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,6_2_2,300,300,6,1,3.4205458380759537,6,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,6_2_3,400,400,2,7,9.559914272984429,6,1.0,0.0
